lambda_logic,lr,pretrained_model_path,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss,weight_decay
0.0,0.0001,pretrained_models/model_42.pt,42,0.8431372549019608,0.8571428571428571,0.641898648096965,0.5989154187532572,1e-05
0.0,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.6308666427027095,0.4999870683320544,1e-05
0.0,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.6803461313247681,0.5893744793362342,1e-05
0.0,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.5058710047831902,1.1284070491360931,1e-05
0.0,0.0001,pretrained_models/model_46.pt,46,0.8595238095238096,0.8661417322834646,0.5634358937923725,0.4328184907252972,1e-05
0.2,0.0001,pretrained_models/model_42.pt,42,0.8235294117647058,0.8421052631578948,0.6434831894361056,0.595037198983706,1e-05
0.2,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.6366422162814573,0.5355773839083585,1e-05
0.2,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.690175535587164,0.6296108376521331,1e-05
0.2,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.514592747275646,1.0384458704636648,1e-05
0.2,0.0001,pretrained_models/model_46.pt,46,0.8428571428571429,0.859375,0.5627439801509564,0.4563105713862639,1e-05
0.4,0.0001,pretrained_models/model_42.pt,42,0.7935049019607843,0.8173913043478261,0.6818408828515273,0.6451754753406231,1e-05
0.4,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.6455299109220505,0.5654752173207023,1e-05
0.4,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.7104973105283884,0.6747907629379859,1e-05
0.4,0.0001,pretrained_models/model_45.pt,45,0.7169811320754718,0.7692307692307693,0.5318432645155833,0.9332805539552982,1e-05
0.4,0.0001,pretrained_models/model_46.pt,46,0.8428571428571429,0.859375,0.5751744371194106,0.4945933990753614,1e-05
0.6,0.0001,pretrained_models/model_42.pt,42,0.8131127450980392,0.831858407079646,0.7291850676903358,0.6809188952812781,1e-05
0.6,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.6645612811500375,0.608558249744502,1e-05
0.6,0.0001,pretrained_models/model_44.pt,44,0.7987481945113144,0.7142857142857142,0.7506720905120556,0.7228119373321533,1e-05
0.6,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.5690597903269988,0.8294424964831426,1e-05
0.6,0.0001,pretrained_models/model_46.pt,46,0.8333333333333334,0.8615384615384616,0.6020551461439866,0.5439581802258124,1e-05
0.8,0.0001,pretrained_models/model_42.pt,42,0.8719362745098038,0.8785046728971962,0.838865495645083,0.7752714913624984,1e-05
0.8,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.7162423391233791,0.6801542748104442,1e-05
0.8,0.0001,pretrained_models/model_44.pt,44,0.7912855079441502,0.7042253521126761,0.862324581696437,0.8348505932551163,1e-05
0.8,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.6599075083549206,0.7697264208243444,1e-05
0.8,0.0001,pretrained_models/model_46.pt,46,0.7833333333333334,0.8421052631578948,0.6916771164307227,0.649437312896435,1e-05
1.0,0.0001,pretrained_models/model_42.pt,42,0.8229166666666666,0.8392857142857143,0.8773447000063382,0.8773447000063382,1e-05
1.0,0.0001,pretrained_models/model_43.pt,43,0.9387755102040816,0.9347826086956522,0.8805302530527115,0.8805302530527115,1e-05
1.0,0.0001,pretrained_models/model_44.pt,44,0.7912855079441502,0.7042253521126761,1.0994269916644464,1.0994269916644464,1e-05
1.0,0.0001,pretrained_models/model_45.pt,45,0.7169811320754718,0.7692307692307693,0.8410513401031494,0.8410513401031494,1e-05
1.0,0.0001,pretrained_models/model_46.pt,46,0.7476190476190476,0.8783783783783784,0.8367385245286502,0.8367385245286502,1e-05
