2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | ================================================================================
2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Starting run: eeg_neurosymbolic_split_random_lambda_0.2_seed_46
2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Split strategy: random
2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Lambda logic: 0.2000
2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Seed: 46
2026-07-25 18:01:39,993 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | ================================================================================
2026-07-25 18:01:39,995 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Random seed fixed to 46
2026-07-25 18:01:39,995 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Using device: cpu
2026-07-25 18:01:39,995 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Loading dataset
2026-07-25 18:01:42,115 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Dataset loaded and selected
2026-07-25 18:01:42,115 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Decision tree initialized
2026-07-25 18:01:42,191 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Dataloaders created
2026-07-25 18:01:42,191 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Number of selected rules: 2
2026-07-25 18:01:42,193 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Model initialized
2026-07-25 18:24:52,043 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_46/checkpoints/model.pt
2026-07-25 18:24:52,044 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_46/outputs/history.npy
2026-07-25 18:24:52,044 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Test metrics: {'test_total_loss': 0.49364305574160355, 'test_normalized_logic_loss': 0.6525131830802331, 'test_balanced_accuracy': 0.8761904761904762, 'test_f1_score': 0.873015873015873}
2026-07-25 18:24:52,044 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_46 | Run finished successfully
