2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | ================================================================================
2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Starting run: eeg_neurosymbolic_split_random_lambda_0.0_seed_46
2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Split strategy: random
2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Lambda logic: 0.0000
2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Seed: 46
2026-06-02 22:48:20,582 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | ================================================================================
2026-06-02 22:48:20,585 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Random seed fixed to 46
2026-06-02 22:48:20,585 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Using device: cpu
2026-06-02 22:48:20,585 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Loading dataset
2026-06-02 22:48:27,197 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Dataset loaded and selected
2026-06-02 22:48:27,197 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Decision tree initialized
2026-06-02 22:48:27,409 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Dataloaders created
2026-06-02 22:48:27,409 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Number of selected rules: 2
2026-06-02 22:48:27,412 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Model initialized
2026-06-02 23:47:33,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_46/checkpoints/model.pt
2026-06-02 23:47:33,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_46/outputs/history.npy
2026-06-02 23:47:33,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Test metrics: {'test_total_loss': 1.0204089650263388, 'test_balanced_accuracy': 0.5817757009345794, 'test_f1_score': 0.6513761467889908}
2026-06-02 23:47:33,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Run finished successfully
