lambda_logic,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss
0.0,42,0.5,0.653061224489796,0.6768320294526907,0.6910523061568921
0.0,43,0.8979591836734694,0.8863636363636364,0.6524686881087043,0.5316395276988094
0.0,44,0.7862301396244584,0.6923076923076925,0.6566331157317529,0.6016934158710333
0.0,45,0.6886792452830188,0.7518796992481204,0.5147219678530326,1.0943256095051765
0.0,46,0.8761904761904762,0.873015873015873,0.5819251434161112,0.45360750418442947
0.2,42,0.7536764705882353,0.7863247863247863,0.7387855786543626,0.63428173156885
0.2,43,0.9285714285714286,0.923076923076923,0.6571702063083649,0.5340563302690332
0.2,44,0.8023591718825229,0.7088607594936709,0.6775167011297666,0.6162849492751635
0.2,45,0.7075471698113207,0.7633587786259541,0.5482423431598223,0.9090913327840658
0.2,46,0.8928571428571428,0.88,0.5864258202222677,0.46392228511663586
0.4,42,0.892156862745098,0.897196261682243,0.762140134206185,0.5906066596508026
0.4,43,0.9387755102040816,0.9347826086956522,0.6742593971165743,0.5412402525544167
0.4,44,0.7614347616754935,0.6666666666666667,0.7138986610449277,0.7159507687275226
0.4,45,0.660377358490566,0.7352941176470588,0.573062926530838,0.9665844050737528
0.4,46,0.8928571428571428,0.88,0.636496766255452,0.5255656288220332
0.6,42,0.8725490196078431,0.8807339449541284,0.9294565320014954,0.7838830099656031
0.6,43,0.9183673469387755,0.9111111111111111,0.7231033038009297,0.694586076519706
0.6,44,0.783822821376986,0.6944444444444445,0.8191209802260766,0.7992877134909997
0.6,45,0.6132075471698113,0.7092198581560284,0.63488586132343,0.9683538721157954
0.6,46,0.8261904761904761,0.8527131782945736,0.6874043609087284,0.601104295024505
0.8,42,0.892156862745098,0.897196261682243,1.656827917465797,1.5259175392297597
0.8,43,0.9109977324263039,0.9148936170212767,0.8871930918910287,0.814016271721233
0.8,44,0.7638420799229658,0.6666666666666666,1.0458763814889467,1.0240611479832575
0.8,45,0.6132075471698113,0.7092198581560284,0.8776592428867633,1.0688206828557527
0.8,46,0.7238095238095238,0.8648648648648648,0.9044835590399228,0.8271005405829503
1.0,42,0.9019607843137255,0.9056603773584906,4.284419472400959,4.284419472400959
1.0,43,0.9248866213151927,0.9247311827956989,2.162629252130335,2.162629252130335
1.0,44,0.7701011073663939,0.6753246753246753,2.5123175841111403,2.5123175841111403
1.0,45,0.7169811320754718,0.7692307692307693,2.589647815777705,2.589647815777705
1.0,46,0.75,0.9032258064516129,2.2742258310317993,2.2742258310317993
