2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | ================================================================================
2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Starting run: eeg_neurosymbolic_split_random_lambda_0.6_seed_43
2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Split strategy: random
2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Lambda logic: 0.6000
2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Seed: 43
2026-07-25 22:46:50,481 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | ================================================================================
2026-07-25 22:46:50,483 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Random seed fixed to 43
2026-07-25 22:46:50,483 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Using device: cpu
2026-07-25 22:46:50,483 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Loading dataset
2026-07-25 22:46:52,645 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Dataset loaded and selected
2026-07-25 22:46:52,645 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Decision tree initialized
2026-07-25 22:46:52,734 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Dataloaders created
2026-07-25 22:46:52,734 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Number of selected rules: 2
2026-07-25 22:46:52,736 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Model initialized
2026-07-25 23:13:08,062 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.6_seed_43/checkpoints/model.pt
2026-07-25 23:13:08,063 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.6_seed_43/outputs/history.npy
2026-07-25 23:13:08,063 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Test metrics: {'test_total_loss': 0.6169534433971752, 'test_normalized_logic_loss': 0.6879805678671057, 'test_balanced_accuracy': 0.9285714285714286, 'test_f1_score': 0.923076923076923}
2026-07-25 23:13:08,063 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_43 | Run finished successfully
