2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | ================================================================================
2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Starting run: eeg_neurosymbolic_split_random_lambda_0.25_seed_45
2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Split strategy: random
2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Lambda logic: 0.2500
2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Seed: 45
2026-06-03 02:30:57,700 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | ================================================================================
2026-06-03 02:30:57,702 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Random seed fixed to 45
2026-06-03 02:30:57,702 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Using device: cpu
2026-06-03 02:30:57,702 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Loading dataset
2026-06-03 02:31:04,132 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Dataset loaded and selected
2026-06-03 02:31:04,132 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Decision tree initialized
2026-06-03 02:31:04,336 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Dataloaders created
2026-06-03 02:31:04,336 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Number of selected rules: 2
2026-06-03 02:31:04,356 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Model initialized
2026-06-03 03:23:51,402 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_45/checkpoints/model.pt
2026-06-03 03:23:51,403 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_45/outputs/history.npy
2026-06-03 03:23:51,403 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Test metrics: {'test_total_loss': 9.152144076732489, 'test_balanced_accuracy': 0.7064206268958544, 'test_f1_score': 0.815884476534296}
2026-06-03 03:23:51,403 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_45 | Run finished successfully
