model_path,seed,lambda_logic,prediction_threshold,rule_activation_threshold,rule_agreement,rule_compliance,active_count,truth_mass,n_rules
evaluation/models/model_seed-42_lambda-0.0.pt,42,0.0,0.5,0.8,0.6893635095115935,0.5599701761713645,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-0.0.pt,43,0.0,0.5,0.8,0.8515997884804241,0.7006043932646498,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-0.0.pt,44,0.0,0.5,0.8,0.804238706079197,0.6391470565633567,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-0.0.pt,45,0.0,0.5,0.8,0.8014899532486282,0.7280637765691811,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-0.0.pt,46,0.0,0.5,0.8,0.6737357469561296,0.6580688176734936,3037.1086956521735,3670.1424861450064,2
evaluation/models/model_seed-42_lambda-0.2.pt,42,0.2,0.5,0.8,0.7116165083898235,0.57885635414241,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-0.2.pt,43,0.2,0.5,0.8,0.868088700871488,0.7071377395088713,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-0.2.pt,44,0.2,0.5,0.8,0.7804424614240566,0.6616798768785255,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-0.2.pt,45,0.2,0.5,0.8,0.8014899532486282,0.7303744025252192,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-0.2.pt,46,0.2,0.5,0.8,0.6737357469561296,0.6655977726923321,3037.1086956521735,3670.1424861450064,2
evaluation/models/model_seed-42_lambda-0.4.pt,42,0.4,0.5,0.8,0.9058677301550283,0.7456641343285554,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-0.4.pt,43,0.4,0.5,0.8,0.901066525653616,0.7350987349428336,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-0.4.pt,44,0.4,0.5,0.8,0.7936419408812048,0.6485345200086171,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-0.4.pt,45,0.4,0.5,0.8,0.792466769305384,0.733148612939367,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-0.4.pt,46,0.4,0.5,0.8,0.6605424209237906,0.6757627505654195,3037.1086956521735,3670.1424861450064,2
evaluation/models/model_seed-42_lambda-0.6.pt,42,0.6,0.5,0.8,0.9152809571395254,0.7767869287119971,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-0.6.pt,43,0.6,0.5,0.8,0.901066525653616,0.7429245580834783,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-0.6.pt,44,0.6,0.5,0.8,0.806841420338353,0.6343678602771631,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-0.6.pt,45,0.6,0.5,0.8,0.792466769305384,0.7357400573013515,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-0.6.pt,46,0.6,0.5,0.8,0.6895187785866135,0.6955991511685111,3037.1086956521735,3670.1424861450064,2
evaluation/models/model_seed-42_lambda-0.8.pt,42,0.8,0.5,0.8,0.943520638093017,0.808517353366588,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-0.8.pt,43,0.8,0.5,0.8,0.8845776132625521,0.7503686109442556,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-0.8.pt,44,0.8,0.5,0.8,0.8174381855363453,0.6827776196401538,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-0.8.pt,45,0.8,0.5,0.8,0.792466769305384,0.7299483219073174,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-0.8.pt,46,0.8,0.5,0.8,0.6763254525542743,0.6759430232855501,3037.1086956521735,3670.1424861450064,2
evaluation/models/model_seed-42_lambda-1.0.pt,42,1.0,0.5,0.8,0.9058677301550283,0.8082509086907737,3396.1814159292035,4133.727549897821,2
evaluation/models/model_seed-43_lambda-1.0.pt,43,1.0,0.5,0.8,0.901066525653616,0.7644829453358292,2457.603375527426,3081.1582820940807,2
evaluation/models/model_seed-44_lambda-1.0.pt,44,1.0,0.5,0.8,0.7949432980107829,0.6683736241914986,2537.264150943396,3570.3930938282524,2
evaluation/models/model_seed-45_lambda-1.0.pt,45,1.0,0.5,0.8,0.7834435853621399,0.7273212126754925,3314.411214953271,4323.167238824835,2
evaluation/models/model_seed-46_lambda-1.0.pt,46,1.0,0.5,0.8,0.6763254525542743,0.6917931532898832,3037.1086956521735,3670.1424861450064,2
