2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | ================================================================================
2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Starting run: eeg_neurosymbolic_split_random_lambda_0.5_seed_42
2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Split strategy: random
2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Lambda logic: 0.5000
2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Seed: 42
2026-06-03 04:17:18,354 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | ================================================================================
2026-06-03 04:17:18,355 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Random seed fixed to 42
2026-06-03 04:17:18,355 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Using device: cpu
2026-06-03 04:17:18,356 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Loading dataset
2026-06-03 04:17:23,917 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Dataset loaded and selected
2026-06-03 04:17:23,917 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Decision tree initialized
2026-06-03 04:17:24,073 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Dataloaders created
2026-06-03 04:17:24,074 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Number of selected rules: 2
2026-06-03 04:17:24,076 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Model initialized
2026-06-03 05:10:32,715 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.5_seed_42/checkpoints/model.pt
2026-06-03 05:10:32,716 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.5_seed_42/outputs/history.npy
2026-06-03 05:10:32,716 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Test metrics: {'test_total_loss': 21.270424214502174, 'test_balanced_accuracy': 0.8154121863799283, 'test_f1_score': 0.7976878612716763}
2026-06-03 05:10:32,716 | INFO | eeg_neurosymbolic_split_random_lambda_0.5_seed_42 | Run finished successfully
