2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | ================================================================================
2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Starting run: eeg_neurosymbolic_split_random_lambda_0.3_seed_44
2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Split strategy: random
2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Lambda logic: 0.3000
2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Seed: 44
2026-06-30 04:21:06,592 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | ================================================================================
2026-06-30 04:21:06,593 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Random seed fixed to 44
2026-06-30 04:21:06,593 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Using device: cpu
2026-06-30 04:21:06,593 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Loading dataset
2026-06-30 04:21:10,496 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Dataset loaded and selected
2026-06-30 04:21:10,496 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Decision tree initialized
2026-06-30 04:21:10,599 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Dataloaders created
2026-06-30 04:21:10,599 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Number of selected rules: 2
2026-06-30 04:21:10,600 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Model initialized
2026-06-30 04:58:17,313 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.3_seed_44/checkpoints/model.pt
2026-06-30 04:58:17,313 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.3_seed_44/outputs/history.npy
2026-06-30 04:58:17,313 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Test metrics: {'test_total_loss': 0.6643085007866224, 'test_normalized_logic_loss': 0.7783318236470222, 'test_balanced_accuracy': 0.6575984990619137, 'test_f1_score': 0.880503144654088}
2026-06-30 04:58:17,313 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_44 | Run finished successfully
