2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | ================================================================================
2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Starting run: eeg_neurosymbolic_split_random_lambda_0.0_seed_46
2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Split strategy: random
2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Lambda logic: 0.0000
2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Seed: 46
2026-07-11 16:18:19,845 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | ================================================================================
2026-07-11 16:18:19,846 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Random seed fixed to 46
2026-07-11 16:18:19,846 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Using device: cpu
2026-07-11 16:18:19,846 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Loading dataset
2026-07-11 16:18:23,998 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Dataset loaded and selected
2026-07-11 16:18:23,998 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Decision tree initialized
2026-07-11 16:18:24,120 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Dataloaders created
2026-07-11 16:18:24,120 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Number of selected rules: 2
2026-07-11 16:18:24,121 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Model initialized
2026-07-11 16:58:42,620 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_46/checkpoints/model.pt
2026-07-11 16:58:42,621 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_46/outputs/history.npy
2026-07-11 16:58:42,621 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Test metrics: {'test_total_loss': 1.0626944527029991, 'test_normalized_logic_loss': 0.5305869275741012, 'test_balanced_accuracy': 0.5692757009345795, 'test_f1_score': 0.6454545454545455}
2026-07-11 16:58:42,621 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_46 | Run finished successfully
