lambda_logic,seed,lr,weight_decay,pretrained_model_path,test_total_loss,test_balanced_accuracy,test_f1_score
0.6,42,0.0001,1e-05,pretrained_models/model_42.pt,26.256285502885778,0.8486477680026068,0.8432432432432434
0.6,43,0.0001,1e-05,pretrained_models/model_43.pt,18.486568183898925,0.6981132075471699,0.7377049180327869
0.6,44,0.0001,1e-05,pretrained_models/model_44.pt,24.784881909688313,0.6454033771106942,0.8662420382165605
0.6,45,0.0001,1e-05,pretrained_models/model_45.pt,21.101312238436478,0.8228513650151669,0.8559322033898306
0.6,46,0.0001,1e-05,pretrained_models/model_46.pt,30.33617893854777,0.6115070093457944,0.6538461538461539
0.7,42,0.0001,1e-05,pretrained_models/model_42.pt,30.52615810620288,0.8486477680026068,0.8432432432432434
0.7,43,0.0001,1e-05,pretrained_models/model_43.pt,21.190416564941405,0.6981132075471699,0.7377049180327869
0.7,44,0.0001,1e-05,pretrained_models/model_44.pt,28.75654188791911,0.6454033771106942,0.8662420382165605
0.7,45,0.0001,1e-05,pretrained_models/model_45.pt,24.50336294220044,0.8228513650151669,0.8559322033898306
0.7,46,0.0001,1e-05,pretrained_models/model_46.pt,35.13888390858968,0.6068341121495326,0.6473429951690821
0.8,42,0.0001,1e-05,pretrained_models/model_42.pt,34.80336217954755,0.8486477680026068,0.8432432432432434
0.8,43,0.0001,1e-05,pretrained_models/model_43.pt,23.946204166412354,0.6981132075471699,0.7377049180327869
0.8,44,0.0001,1e-05,pretrained_models/model_44.pt,32.73019941647848,0.6454033771106942,0.8662420382165605
0.8,45,0.0001,1e-05,pretrained_models/model_45.pt,27.911950725775498,0.8228513650151669,0.8559322033898306
0.8,46,0.0001,1e-05,pretrained_models/model_46.pt,39.95530215899149,0.6005841121495327,0.6442307692307692
1.0,42,0.0001,1e-05,pretrained_models/model_42.pt,43.336735068509974,0.8486477680026068,0.8432432432432434
1.0,43,0.0001,1e-05,pretrained_models/model_43.pt,29.894579887390137,0.6981132075471699,0.7377049180327869
1.0,44,0.0001,1e-05,pretrained_models/model_44.pt,40.680598735809326,0.6454033771106942,0.8662420382165605
1.0,45,0.0001,1e-05,pretrained_models/model_45.pt,34.71843896462367,0.8228513650151669,0.8559322033898306
1.0,46,0.0001,1e-05,pretrained_models/model_46.pt,49.553747495015465,0.6068341121495326,0.6473429951690821
