2026-07-26 02:05:58,360 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | ================================================================================
2026-07-26 02:05:58,360 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Starting run: eeg_neurosymbolic_split_random_lambda_0.8_seed_46
2026-07-26 02:05:58,361 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Split strategy: random
2026-07-26 02:05:58,361 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Lambda logic: 0.8000
2026-07-26 02:05:58,361 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Seed: 46
2026-07-26 02:05:58,361 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | ================================================================================
2026-07-26 02:05:58,363 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Random seed fixed to 46
2026-07-26 02:05:58,363 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Using device: cpu
2026-07-26 02:05:58,363 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Loading dataset
2026-07-26 02:06:00,644 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Dataset loaded and selected
2026-07-26 02:06:00,644 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Decision tree initialized
2026-07-26 02:06:00,722 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Dataloaders created
2026-07-26 02:06:00,722 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Number of selected rules: 2
2026-07-26 02:06:00,724 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Model initialized
2026-07-26 02:30:21,973 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.8_seed_46/checkpoints/model.pt
2026-07-26 02:30:21,974 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.8_seed_46/outputs/history.npy
2026-07-26 02:30:21,974 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Test metrics: {'test_total_loss': 0.8143142587863482, 'test_normalized_logic_loss': 0.876815982736074, 'test_balanced_accuracy': 0.8500000000000001, 'test_f1_score': 0.8682170542635659}
2026-07-26 02:30:21,974 | INFO | eeg_neurosymbolic_split_random_lambda_0.8_seed_46 | Run finished successfully
