2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | ================================================================================
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Starting fine-tuning run
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Run name: eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Pretrained model: pretrained_models/model_42.pt
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Split strategy: random
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Lambda logic: 0.3000
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Learning rate: 1.00e-04
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Weight decay: 1.00e-05
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Epochs: 30
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Seed: 42
2026-06-10 20:54:59,744 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | ================================================================================
2026-06-10 20:54:59,746 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Random seed fixed to 42
2026-06-10 20:54:59,747 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Using device: cpu
2026-06-10 20:54:59,747 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Loading dataset
2026-06-10 20:55:03,807 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Dataset loaded and selected
2026-06-10 20:55:03,808 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Decision tree initialized
2026-06-10 20:55:03,921 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Dataloaders created
2026-06-10 20:55:03,921 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Number of selected rules: 2
2026-06-10 20:55:03,923 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Model initialized
2026-06-10 20:55:03,924 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Loaded pretrained model from pretrained_models/model_42.pt
2026-06-10 21:36:38,292 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Model saved to runs/finetuning/eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42/checkpoints/model.pt
2026-06-10 21:36:38,293 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | History saved to runs/finetuning/eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42/outputs/history.npy
2026-06-10 21:36:38,293 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Test metrics: {'test_total_loss': 13.417669899140796, 'test_balanced_accuracy': 0.8486477680026068, 'test_f1_score': 0.8432432432432434}
2026-06-10 21:36:38,293 | INFO | eeg_neurosymbolic_finetune_split_random_lambda_0.3_lr_0.0001_wd_1e-05_seed_42 | Fine-tuning finished successfully
