2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | ================================================================================
2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Starting run: eeg_neurosymbolic_split_random_lambda_0.2_seed_42
2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Split strategy: random
2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Lambda logic: 0.2000
2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Seed: 42
2026-07-01 19:28:43,799 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | ================================================================================
2026-07-01 19:28:43,800 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Random seed fixed to 42
2026-07-01 19:28:43,800 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Using device: cpu
2026-07-01 19:28:43,800 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Loading dataset
2026-07-01 19:28:47,912 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Dataset loaded and selected
2026-07-01 19:28:47,912 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Decision tree initialized
2026-07-01 19:28:48,023 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Dataloaders created
2026-07-01 19:28:48,023 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Number of selected rules: 2
2026-07-01 19:28:48,025 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Model initialized
2026-07-01 20:07:54,120 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_42/checkpoints/model.pt
2026-07-01 20:07:54,120 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_42/outputs/history.npy
2026-07-01 20:07:54,121 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Test metrics: {'test_total_loss': 0.43934345959375304, 'test_normalized_logic_loss': 0.7295752239685195, 'test_balanced_accuracy': 0.9292929292929293, 'test_f1_score': 0.9299999999999999}
2026-07-01 20:07:54,121 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Run finished successfully
