lambda_logic,seed,test_total_loss,test_balanced_accuracy,test_f1_score
0.0,42,0.4025338883511722,0.9292929292929293,0.9299999999999999
0.0,43,0.587168025970459,0.7360587002096436,0.7452830188679246
0.0,44,0.6350512535621723,0.6393058161350844,0.8589743589743589
0.0,45,0.5620286808564112,0.8040950455005056,0.8181818181818182
0.0,46,1.0204089650263388,0.5817757009345794,0.6513761467889908
0.25,42,11.118583410667876,0.8214402085369827,0.8089887640449439
0.25,43,4.755901846885681,0.5,0.6293706293706294
0.25,44,11.315015534559885,0.6104596622889306,0.6992481203007518
0.25,45,9.152144076732489,0.7064206268958544,0.815884476534296
0.25,46,12.846649686495462,0.6303154205607476,0.6464646464646465
0.5,42,21.270424214502174,0.8154121863799283,0.7976878612716763
0.5,43,6.4625647151470185,0.5,0.6293706293706294
0.5,44,21.388267596562702,0.6564258911819887,0.8382838283828382
0.5,45,17.46623398936712,0.6308392315470172,0.7793103448275862
0.5,46,24.191089630126953,0.5913551401869159,0.5937499999999999
