lambda_logic,seed,test_total_loss,test_normalized_logic_loss,test_balanced_accuracy,test_f1_score
0.1,42,0.3878508399551113,0.7016903672289724,0.9292929292929293,0.9299999999999999
0.1,43,0.5596014618873596,0.939158227443695,0.7950733752620545,0.7692307692307693
0.1,44,0.655561571319898,0.728460006415844,0.6240619136960601,0.8403908794788273
0.1,45,0.5621958234562323,0.64986997226683,0.8055611729019212,0.8165137614678899
0.1,46,1.0048941771189372,0.565880075097084,0.5176985981308411,0.6260869565217391
0.3,42,0.4895401004080971,0.761681206941527,0.9239165852069078,0.9246231155778895
0.3,43,0.6928958201408386,0.9713319659233093,0.7360587002096436,0.7452830188679246
0.3,44,0.6643085007866224,0.7783318236470222,0.6575984990619137,0.880503144654088
0.3,45,0.5731516503370725,0.6690070285963324,0.8505055611729019,0.8672566371681416
0.3,46,0.9043498473862807,0.5782534889876842,0.5379672897196262,0.6465517241379309
0.5,42,0.6429193303920329,0.8826866281645683,0.8755294884327143,0.8736842105263158
0.5,43,0.9695264977216721,1.0992201995849609,0.5943396226415094,0.6766917293233083
0.5,44,0.8237719635168711,0.8791909143328667,0.6179643527204504,0.8327868852459016
0.5,45,0.6352951744428048,0.7449416581971141,0.8490394337714864,0.8684210526315789
0.5,46,0.8681627300878366,0.6311670107146105,0.5317172897196262,0.6437768240343347
0.7,42,0.9411115935848405,1.116480372613296,0.8217660475724992,0.8111111111111111
0.7,43,1.6054216170310973,1.9180453157424926,0.6462264150943396,0.7058823529411764
0.7,44,0.9983012477556864,1.091645509004593,0.6606472795497186,0.8840125391849529
0.7,45,0.8239638114777895,0.9298736643619262,0.8387765419615774,0.8760330578512396
0.7,46,0.8644652267297109,0.7437320202589035,0.5411214953271029,0.6403508771929824
