lambda_logic,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss
0.0,42,0.934017595307918,0.9340101522842639,0.6841393349071344,0.35381270789851743
0.0,43,0.6887840670859539,0.6702702702702703,0.8249786996841431,0.5561680638790131
0.0,44,0.6707317073170731,0.8761904761904761,0.7264254142840704,0.6177751546104749
0.0,45,0.8113751263902932,0.8202764976958524,0.720183980006438,0.5671336702429332
0.0,46,0.5692757009345795,0.6454545454545455,0.5305869275741012,1.0626944527029991
0.2,42,0.9024112088628218,0.9025641025641027,0.7303202586869398,0.46726916419963044
0.2,43,0.7360587002096436,0.7452830188679246,0.8223993849754333,0.6144125962257385
0.2,44,0.6564258911819887,0.8382838283828382,0.772161657611529,0.6874328454335531
0.2,45,0.8287664307381193,0.8416289592760181,0.7810690013261942,0.560369685292244
0.2,46,0.5630257009345794,0.6425339366515838,0.5612590567617796,1.0332841624816258
0.4,42,0.8862821766047573,0.8854166666666665,0.8000817811116576,0.5686078211292624
0.4,43,0.7476939203354298,0.748768472906404,0.9435401272773742,0.7113286685943604
0.4,44,0.6969981238273921,0.8673139158576051,0.8544765760501226,0.6710067056119442
0.4,45,0.8693124368048534,0.8936170212765957,0.8820072572964889,0.6300327273515555
0.4,46,0.5442757009345794,0.6339285714285714,0.6181917519819157,0.9279295820742846
0.6,42,0.8378950798305638,0.8306010928961749,0.9800559437523285,0.7893865530689558
0.6,43,0.7446540880503145,0.7500000000000001,1.1224348187446593,0.9282357716560363
0.6,44,0.8245778611632271,0.8990228013029316,1.0570468753576279,0.8595036789774895
0.6,45,0.8576845298281092,0.8860759493670886,1.121075492638808,0.8582156025446378
0.6,46,0.6333528037383178,0.6730769230769229,0.7402693174547798,0.9808946580936512
0.8,42,0.8325187357445422,0.8241758241758241,1.3754195862760146,1.2469955570995808
0.8,43,0.769916142557652,0.7729468599033816,1.4850945210456847,1.3341224813461303
0.8,44,0.8569418386491556,0.8976897689768977,1.460966557264328,1.31758863478899
0.8,45,0.876592517694641,0.8965517241379309,1.7056138859345362,1.4675911183540638
0.8,46,0.5505257009345794,0.6367713004484304,1.045686189164068,1.152292689618965
1.0,42,0.8274682306940371,0.819672131147541,3.2599972039461136,3.2599972039461136
1.0,43,0.74916142557652,0.7705627705627707,2.857017436027527,2.857017436027527
1.0,44,0.9695121951219512,0.9685534591194969,4.024989450971286,4.024989450971286
1.0,45,0.8998483316481294,0.9122807017543859,4.74690731213643,4.74690731213643
1.0,46,0.6129672897196261,0.6818181818181819,3.303869757362463,3.303869757362463
