2026-06-30 03:45:29,393 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | ================================================================================
2026-06-30 03:45:29,393 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Starting run: eeg_neurosymbolic_split_random_lambda_0.3_seed_43
2026-06-30 03:45:29,394 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Split strategy: random
2026-06-30 03:45:29,394 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Lambda logic: 0.3000
2026-06-30 03:45:29,394 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Seed: 43
2026-06-30 03:45:29,394 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | ================================================================================
2026-06-30 03:45:29,395 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Random seed fixed to 43
2026-06-30 03:45:29,395 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Using device: cpu
2026-06-30 03:45:29,395 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Loading dataset
2026-06-30 03:45:33,287 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Dataset loaded and selected
2026-06-30 03:45:33,287 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Decision tree initialized
2026-06-30 03:45:33,409 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Dataloaders created
2026-06-30 03:45:33,409 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Number of selected rules: 2
2026-06-30 03:45:33,411 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Model initialized
2026-06-30 04:21:06,568 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.3_seed_43/checkpoints/model.pt
2026-06-30 04:21:06,568 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.3_seed_43/outputs/history.npy
2026-06-30 04:21:06,568 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Test metrics: {'test_total_loss': 0.6928958201408386, 'test_normalized_logic_loss': 0.9713319659233093, 'test_balanced_accuracy': 0.7360587002096436, 'test_f1_score': 0.7452830188679246}
2026-06-30 04:21:06,568 | INFO | eeg_neurosymbolic_split_random_lambda_0.3_seed_43 | Run finished successfully
